expr,min,lq,mean,median,uq,max,neval
"write_rds(df1, path = here(""proc"", ""df1_write_rds.rds""))",46.06172,46.120789,57.7017282,46.530045,47.714583,102.081504,5
"saveRDS(df1, file = here(""proc"", ""df1_saveRDS.rds""))",217.734463,220.176902,243.1177494,234.173601,261.713775,281.790006,5
"qsave(df1, file = here(""proc"", ""df1_qsave.qs""))",102.854803,103.112558,106.7101816,103.168534,106.219133,118.19588,5
"write.fst(df1, path = here(""proc"", ""df1_writefst.fst""))",35.210277,39.528129,45.006093,45.458432,48.837115,55.996512,5
"write_rds(df2, path = here(""proc"", ""df2_write_rds.rds""))",224.906132,230.009182,256.5914666,236.768816,243.914857,347.358346,5
"saveRDS(df2, file = here(""proc"", ""df2_saveRDS.rds""))",1047.274232,1060.051769,1067.384978,1061.669668,1083.255715,1084.673506,5
"qsave(df2, file = here(""proc"", ""df2_qsave.qs""))",518.872072,528.717417,552.2862652,539.572569,563.242948,611.02632,5
"write.fst(df2, path = here(""proc"", ""df2_writefst.fst""))",191.287256,192.574381,208.1514152,212.620563,218.920118,225.354758,5
"write_rds(df3, path = here(""proc"", ""df3_write_rds.rds""))",492.19932,508.47176,533.582673,531.281007,559.067351,576.893927,5
"saveRDS(df3, file = here(""proc"", ""df3_saveRDS.rds""))",2225.437861,2231.759568,2271.8383614,2231.969735,2250.43755,2419.587093,5
"qsave(df3, file = here(""proc"", ""df3_qsave.qs""))",1144.432497,1188.110775,1197.368589,1200.870916,1225.213202,1228.215555,5
"write.fst(df3, path = here(""proc"", ""df3_writefst.fst""))",344.29561,365.951319,389.8808514,407.365657,407.993274,423.798397,5
"write_rds(df4, path = here(""proc"", ""df4_write_rds.rds""))",965.752373,989.772419,1048.8633548,1072.337013,1093.977328,1122.477641,5
"saveRDS(df4, file = here(""proc"", ""df4_saveRDS.rds""))",4285.816556,4305.857068,4361.2117674,4345.910903,4356.661922,4511.812388,5
"qsave(df4, file = here(""proc"", ""df4_qsave.qs""))",2133.909887,2139.611826,2167.8696998,2144.743033,2145.277151,2275.806602,5
"write.fst(df4, path = here(""proc"", ""df4_writefst.fst""))",442.982815,459.822636,500.09884220000004,503.107637,526.886068,567.695055,5
"write_rds(df5, path = here(""proc"", ""df5_write_rds.rds""))",1383.011265,1437.753131,1483.8292968,1460.743626,1465.670098,1671.968364,5
"saveRDS(df5, file = here(""proc"", ""df5_saveRDS.rds""))",6381.125072,6395.824034,6543.829649,6467.423913,6717.170008,6757.605218,5
"qsave(df5, file = here(""proc"", ""df5_qsave.qs""))",3060.250101,3117.708,3185.716262,3221.059824,3234.77861,3294.784775,5
"write.fst(df5, path = here(""proc"", ""df5_writefst.fst""))",638.015736,719.812392,726.161077,748.998721,752.923697,771.054839,5
"write_rds(df6, path = here(""proc"", ""df6_write_rds.rds""))",1845.076109,1852.424038,1907.541712,1870.81795,1942.262409,2027.128054,5
"saveRDS(df6, file = here(""proc"", ""df6_saveRDS.rds""))",8609.661607,8653.265605,8740.370378,8658.517859,8671.729336,9108.677483,5
"qsave(df6, file = here(""proc"", ""df6_qsave.qs""))",4281.397383,4290.437917,4360.3885154,4326.401146,4346.047437,4557.658694,5
"write.fst(df6, path = here(""proc"", ""df6_writefst.fst""))",812.134923,850.399456,922.2201491999999,938.768077,962.096644,1047.701646,5
"write_rds(df7, path = here(""proc"", ""df7_write_rds.rds""))",2273.593542,2361.924273,2404.3636694,2430.315824,2448.473142,2507.511566,5
"saveRDS(df7, file = here(""proc"", ""df7_saveRDS.rds""))",10760.603357,10913.015681,10957.1067056,10947.021716,11071.875223,11093.017551,5
"qsave(df7, file = here(""proc"", ""df7_qsave.qs""))",5230.312676,5259.253402,5379.7322032,5468.732873,5470.055237,5470.306828,5
"write.fst(df7, path = here(""proc"", ""df7_writefst.fst""))",1022.931039,1072.22795,1083.9310616,1097.622775,1112.289422,1114.584122,5
"write_rds(df8, path = here(""proc"", ""df8_write_rds.rds""))",4657.243039,4663.430165,4891.4793778,4986.387523,4993.244084,5157.092078,5
"saveRDS(df8, file = here(""proc"", ""df8_saveRDS.rds""))",21711.58505,21741.439811,21943.7111314,21788.890329,21844.388188,22632.252279,5
"qsave(df8, file = here(""proc"", ""df8_qsave.qs""))",10453.616368,10468.085861,10717.1932872,10763.345564,10872.472477,11028.446166,5
"write.fst(df8, path = here(""proc"", ""df8_writefst.fst""))",1727.089923,1848.459449,1892.5417826,1912.054449,1970.235506,2004.869586,5
"write_rds(df9, path = here(""proc"", ""df9_write_rds.rds""))",9305.792554,9471.390757,9508.854084,9495.938039,9613.448497,9657.700573,5
"saveRDS(df9, file = here(""proc"", ""df9_saveRDS.rds""))",43013.497291,43142.594475,43403.1635676,43523.431394,43649.329852,43686.964826,5
"qsave(df9, file = here(""proc"", ""df9_qsave.qs""))",20762.506351,20780.720847,21036.6503852,21073.733548,21208.631231,21357.659949,5
"write.fst(df9, path = here(""proc"", ""df9_writefst.fst""))",3368.723396,3628.262651,3654.0054334,3670.550251,3737.774888,3864.715981,5
